Num,NuSTAR_Solar_ID,Start_Time,End_Time
"1","ns_20140910",10-Sep-14 21:43:50","10-Sep-14 23:58:35"
"2","ns_20141101","01-Nov-14 16:44:23","01-Nov-14 22:28:12"
"3","ns_20141211","11-Dec-14 18:39:00","11-Dec-14 19:06:16"
"4","ns_20150429","29-Apr-15 11:16:24","29-Apr-15 13:27:29"
"5","ns_20150901","01-Sep-15 02:11:30","01-Sep-15 11:14:47"
"5","ns_20150901","02-Sep-15 02:22:31","02-Sep-15 11:25:55"
"6","ns_20160219","19-Feb-16 18:54:51","20-Feb-16 00:09:59"
"7","ns_20160422","22-Apr-16 17:11:10","22-Apr-16 23:01:30"
"8","ns_20160726","26-Jul-16 19:22:58","27-Jul-16 01:13:31"
"9","ns_20170321","21-Mar-17 12:09:22","21-Mar-17 19:35:45"
"10","ns_20170821","21-Aug-17 18:49:58","21-Aug-17 19:50:03"
"11","ns_20170911","11-Sep-17 15:55:54","11-Sep-17 21:36:24"
"11","ns_20170911","12-Sep-17 19:19:22","13-Sep-17 02:45:35"
"11","ns_20170911","13-Sep-17 16:16:07","14-Sep-17 01:14:59"
"12","ns_20171010","10-Oct-17 01:28:31","10-Oct-17 05:41:32"
"13","ns_20180529","29-May-18 15:59:36","29-May-18 22:51:31"
"14","ns_20180907","07-Sep-18 14:56:57","07-Sep-18 19:10:00"
"14","ns_20180907","09-Sep-18 08:50:07","09-Sep-18 13:03:11"
"14","ns_20180907","10-Sep-18 13:50:01","10-Sep-18 17:53:46"
"15","ns_20180928","28-Sep-18 18:24:58","28-Sep-18 21:01:01"
"16","ns_20190112","12-Jan-19 16:34:22","12-Jan-19 17:34:40"
"17","ns_20190412","12-Apr-19 15:12:56","13-Apr-19 11:32:36"
"18","ns_20190425","25-Apr-19 22:10:47","26-Apr-19 04:00:43"
"19","ns_20190702","02-Jul-19 04:16:46","02-Jul-19 06:53:41"
"20","ns_20200129","29-Jan-20 08:05:47","30-Jan-20 20:26:23"
"21","ns_20200221","21-Feb-20 05:16:17","21-Feb-20 22:22:17"
"22","ns_20200606","06-Jun-20 19:07:22","06-Jun-20 21:37:31"
"22","ns_20200606","07-Jun-20 19:16:55","07-Jun-20 21:46:52"
"22","ns_20200606","08-Jun-20 19:26:29","08-Jun-20 21:56:17"
"22","ns_20200606","09-Jun-20 14:46:12","09-Jun-20 15:46:16"
"23","ns_20200912","12-Sep-20 09:05:40","13-Sep-20 00:34:03"
"24","ns_20210108","08-Jan-21 10:12:50","08-Jan-21 16:03:59"
"24","ns_20210108","14-Jan-21 09:34:21","14-Jan-21 15:25:12"
"24","ns_20210108","20-Jan-21 10:32:05","20-Jan-21 14:45:48"
"25","ns_20210108","29-Apr-21 14:53:47","29-Apr-21 22:16:48"
"25","ns_20210108","03-May-21 15:31:50","03-May-21 22:58:53"
"25","ns_20210108","07-May-21 14:33:15","07-May-21 23:36:47"
"26","ns_20210720","20-Jul-21 00:24:06","20-Jul-21 14:17:48"
"27","ns_20210730","30-Jul-21 18:05:08","30-Jul-21 22:18:55"
"28","ns_20211117","17-Nov-21 17:28:39","17-Nov-21 21:32:40"
"28","ns_20211117","19-Nov-21 22:37:20","20-Nov-21 02:51:03"
"28","ns_20211117","21-Nov-21 22:55:58","22-Nov-21 03:09:33"
"29","ns_20220224","24-Feb-22 14:58:03","24-Feb-22 20:47:23"
"29","ns_20220224","25-Feb-22 15:07:05","25-Feb-22 20:56:24"
"29","ns_20220224","26-Feb-22 20:05:54","27-Feb-22 01:55:10"
"30","ns_20220603","03-Jun-22 13:30:02","04-Jun-22 03:04:59"
"31","ns_20220906","06-Sep-22 15:44:01","06-Sep-22 21:33:07"
"32","ns_20221209","09-Dec-22 23:38:44","10-Dec-22 02:16:21"
"32","ns_20221209","11-Dec-22 17:28:38","12-Dec-22 00:55:48"
"33","ns_20230318","18-Mar-23 13:30:41","19-Mar-23 00:07:32"
