NS ID/Inst,Start Time,End Time,On Time [s],Eff Exp [s],Livetime [%],XC [S/C],YC [S/C]
"nu20201001001/FPMA","26-Jul-16 19:22:58","26-Jul-16 20:23:26","3629.00","  94.98","  2.62"," 1077","   99"
"nu20201001001/FPMB","26-Jul-16 19:22:58","26-Jul-16 20:23:26","3629.00"," 106.34","  2.93"," 1043","  129"
"nu20201002001/FPMA","26-Jul-16 20:59:40","26-Jul-16 21:55:32","3022.00"," 264.89","  8.77"," 1077","   99"
"nu20201002001/FPMB","26-Jul-16 20:59:40","26-Jul-16 21:55:32","3022.00"," 229.27","  7.59"," 1048","  129"
"nu20201003001/FPMA","26-Jul-16 22:52:43","26-Jul-16 23:15:59","1393.99","  67.87","  4.87"," 1092","  106"
"nu20201003001/FPMB","26-Jul-16 22:52:43","26-Jul-16 23:15:59","1393.99","  71.05","  5.10"," 1063","  133"
"nu20201005001/FPMA","26-Jul-16 23:17:12","26-Jul-16 23:25:59"," 528.00"," 162.57"," 30.79","   28","  -38"
"nu20201005001/FPMB","26-Jul-16 23:17:12","26-Jul-16 23:26:00"," 528.00"," 138.28"," 26.19","   -3","  -11"
"nu20201006001/FPMA","26-Jul-16 23:27:04","26-Jul-16 23:36:57"," 594.00","  31.55","  5.31"," -819"," -352"
"nu20201006001/FPMB","26-Jul-16 23:27:04","26-Jul-16 23:36:57"," 594.00","  25.98","  4.37"," -849"," -325"
"nu20201004001/FPMA","27-Jul-16 00:13:04","27-Jul-16 01:13:31","3628.00"," 140.98","  3.89"," 1082","   97"
"nu20201004001/FPMB","27-Jul-16 00:13:04","27-Jul-16 01:13:31","3628.00"," 159.13","  4.39"," 1050","  126"
